"sieve","US13MeanPct","US14MeanPct","CumRet_US13","CumPass_US13","CumRet_US14","CumPass_US14"
1180,0,0,0,1,0,1
600,0.000438950732169821,0.000296068214116532,0.000438950732169821,0.99956104926783,0.000296068214116532,0.999703931785883
425,0.000474066790743407,0.000448331867090749,0.000913017522913228,0.999086982477087,0.000744400081207282,0.999255599918793
300,0.017294658847491,0.0215706841713474,0.0182076763704042,0.981792323629596,0.0223150842525546,0.977684915747445
212,0.142825789233416,0.142171956418759,0.161033465603821,0.838966534396179,0.164487040671314,0.835512959328687
180,0.068274396881694,0.0562867970494688,0.229307862485515,0.770692137514485,0.220773837720782,0.779226162279218
150,0.101467851248376,0.0887443324084726,0.330775713733891,0.66922428626611,0.309518170129255,0.690481829870745
106,0.163640832952909,0.151696893821479,0.4944165466868,0.5055834533132,0.461215063950734,0.538784936049266
75,0.107121536678723,0.10145834743182,0.601538083365523,0.398461916634477,0.562673411382554,0.437326588617446
53,0.0888085121325982,0.0957230831697909,0.690346595498121,0.309653404501879,0.658396494552345,0.341603505447655
38,0.045089019208484,0.0540789740813426,0.735435614706605,0.264564385293395,0.712475468633687,0.287524531366313
0,0.264564385293395,0.287524531366312,1,0,1,1.11022302462516e-16
