sieve,stream,probability
1,1180,F13m,0.0405155903865973
2,1180,F14m,0.0462433375541192
3,600,F13m,0.100826354474641
4,600,F14m,0.10618980330114
5,425,F13m,0.0951732005631376
6,425,F14m,0.0969808889463509
7,300,F13m,0.130986896557492
8,300,F14m,0.13238004068598
9,212,F13m,0.126304365125606
10,212,F14m,0.123961909602351
11,180,F13m,0.044328971874269
12,180,F14m,0.0436509362077421
13,150,F13m,0.0530175708603591
14,150,F14m,0.0531440752487602
15,106,F13m,0.0895959533821184
16,106,F14m,0.0851230544595786
17,75,F13m,0.0609912793429702
18,75,F14m,0.060776900348552
19,53,F13m,0.0544843557318453
20,53,F14m,0.053088926541444
21,38,F13m,0.0297245189439133
22,38,F14m,0.0279787252985458
23,0,F13m,0.174050942757052
24,0,F14m,0.170481401805437
